id,created_at,full_text
1260185030967676928,2020-05-12 12:28:19,"b'Looking forward to being in Allentown, Pennsylvania, on Thursday. I love the State, and for very good reason!'"
1260177007490600960,2020-05-12 11:56:26,"b'Remember this, every Governor who has sky high approval on their handling of the Coronavirus, and I am happy for them all, could in no way have gotten those numbers, or had that success, without me and the Federal Governments help. From Ventilators to Testing, we made it happen!'"
1260174133935124481,2020-05-12 11:45:01,"b'So interesting to see all of these people I beat so badly, pundits &amp; consultants that never had a chance, telling me how to run for office. Many are Republicans who should LOVE our 280 new Judges, rebuilt Military, 2A, great V.A. Low Taxes, etc. Just don\xe2\x80\x99t like that I beat them!'"
1260171664865796097,2020-05-12 11:35:12,"b'Our Testing is the BEST in the World, by FAR! Numbers are coming down in most parts of our Country, which wants to open and get going again. It is happening, safely!'"
1260170754496311296,2020-05-12 11:31:35,b'The American People are WARRIORS!'
1260169616510386176,2020-05-12 11:27:04,b'TRANSITION TO GREATNESS'
1260169167665270787,2020-05-12 11:25:17,"b'96% APPROVAL RATING IN THE REPUBLICAN PARTY. THANK YOU! We will win against a tired, exhausted man, Sleepy Joe Biden, in November.'"
1260167707741368320,2020-05-12 11:19:28,"b'Asian Americans are VERY angry at what China has done to our Country, and the World. Chinese Americans are the most angry of all. I don\xe2\x80\x99t blame them!'"
1260166181513842688,2020-05-12 11:13:25,b'More than all other countries together! https://t.co/VsgQu6LTkt'
1260162910283849728,2020-05-12 11:00:25,"b'Remember, get out and Vote for Mike Garcia in CA25. A really big deal for our Country!'"
1260161295019630592,2020-05-12 10:54:00,b'When will they open a Cold Case on the Psycho Joe Scarborough matter in Florida. Did he get away with murder? Some people think so. Why did he leave Congress so quietly and quickly? Isn\xe2\x80\x99t it obvious? What\xe2\x80\x99s happening now? A total nut job!'
1260158343756341249,2020-05-12 10:42:16,"b'Ratings way down, show sucks! https://t.co/vxSOvjbdf2'"
1260156226224128000,2020-05-12 10:33:51,b'OBAMAGATE makes Watergate look small time! https://t.co/vW19NbYXw6'
1260155683443441664,2020-05-12 10:31:42,b'Sleepy Eyes fails again! https://t.co/MC7KSBo4Cd'
1260155210498015232,2020-05-12 10:29:49,b'Big news! https://t.co/mV4cYB84Jm'
1260155029253771264,2020-05-12 10:29:06,b'Fake Journalists! https://t.co/fdFWf95Zz1'
1260154672268148736,2020-05-12 10:27:41,"b'A great time to have strong Borders, and we now have the strongest Borders in our history. 182 miles of Border Wall already built! Dems want Open Borders, let EVERYONE IN. No thanks! https://t.co/XdW55c0kKv'"
1260152775389962240,2020-05-12 10:20:08,"b'Then we must be very careful. Crazy Nancy would be a total disaster, and the USA will never be a Communist Country! https://t.co/r0tP5dxZ9h'"
1260152460942991360,2020-05-12 10:18:53,b'ColdCaseJoe! https://t.co/4EWnS6fZcX'
1260051164206333954,2020-05-12 03:36:22,"b'The Lamestream Media is truly out of control. Look how they work (conspire!) together. They are the Enemy of the People, but don\xe2\x80\x99t worry, we will WIN in November! https://t.co/3YOSChXP9M'"
1260037290111520768,2020-05-12 02:41:14,b'Interestingly! https://t.co/LSXciF3gt0'
1260035400770314246,2020-05-12 02:33:44,b'https://t.co/GNwQL5scL2'
1260032616780034049,2020-05-12 02:22:40,b'OBAMAGATE! https://t.co/pFbb6hgDhF'
1259970551965196288,2020-05-11 22:16:03,"b'Vote @MikeGarcia2020 by May 12th! His opponent @ChristyforCA25 voted to fire teachers, and cut their salaries while bumping up her pay. Now she\xe2\x80\x99s mocking our Great Vets! We need Navy Fighter Pilot Mike Garcia in #CA25! https://t.co/MEnGMvl8it'"
1259969842305740800,2020-05-11 22:13:14,"b'Tom Tiffany (@TomTiffanyWI) is a Great Advocate for the incredible people of Wisconsin (WI07). We need Tom in Congress to help us Make America Great Again! He will Fight for Small Business, supports our Incredible Farmers, Loves our Military and our Vets....'"
1259923890664615936,2020-05-11 19:10:38,"b'Congressman Adrian Smith is a strong fighter for Nebraska. He fights for your Second Amendment, defends our Borders, strengthens our Military and loves our Vets! Adrian has my Complete and Total Endorsement! #NE03 https://t.co/lmZL5CsqWY'"
1259923781826592768,2020-05-11 19:10:12,"b'Congressman Jeff Fortenberry (@SupportFortNE) is a great advocate for Nebraska. He fights for Farmers, Small Businesses and our incredible Vets and Military. Jeff has my Complete and Total Endorsement! #NE01 https://t.co/avfdrBY1h0'"
1259923682887073792,2020-05-11 19:09:48,"b'Congressman @DonJBacon is doing a tremendous job for Nebraska! He served our Country as an Air Force General, and now he serves our Vets, Farmers, and Small Businesses. Strongly supports the Second Amendment. Don has my Complete &amp; Total Endorsement! #NE02 https://t.co/gHYoWjRBrZ'"
1259900350338908164,2020-05-11 17:37:05,b'https://t.co/v4XFSs5NBg'
1259868955319173122,2020-05-11 15:32:20,"b'THE ENEMY OF THE PEOPLE. Sadly, our Lamestream Media is TOTALLY CORRUPT! https://t.co/S4hRDIZIOQ'"
1259867421676109824,2020-05-11 15:26:15,"b'Because it was OBAMAGATE, and he and Sleepy Joe led the charge. The most corrupt administration in U.S. history! https://t.co/PTzFvvITh3'"
1259866337029038080,2020-05-11 15:21:56,"b'He should be FIRED by Concast. If done by a Republican, would be \xe2\x80\x9cprosecuted\xe2\x80\x9d. @AjitPaiFCC https://t.co/Lqi3oWEaiP'"
1259852886068076545,2020-05-11 14:28:29,b'.@WashTimes  \xe2\x80\x9cFBI Went Rogue In Pursuit Of Trump\xe2\x80\x9d'
1259852364326014978,2020-05-11 14:26:25,"b'The great people of Pennsylvania want their freedom now, and they are fully aware of what that entails. The Democrats are moving slowly, all over the USA, for political purposes. They would wait until November 3rd if it were up to them. Don\xe2\x80\x99t play politics. Be safe, move quickly!'"
1259849944216846337,2020-05-11 14:16:48,b'OBAMAGATE makes Watergate look small time!'
1259844948960120833,2020-05-11 13:56:57,"b'Coronavirus numbers are looking MUCH better, going down almost everywhere. Big progress being made!'"
